bid,ask,mid,strike,bid2,ask2,mid2,strike2
0.05,0.1,0.075,1750,0.1,0.15,0.125,1700
0.05,0.15,0.1,1775,0.1,0.2,0.15,1750
0.05,0.1,0.075,1800,0.1,0.25,0.175,1800
0.05,0.15,0.1,1825,0.15,0.25,0.2,1850
0.05,0.1,0.075,1850,0.15,0.3,0.225,1875
0.1,0.2,0.15,1875,0.15,0.3,0.225,1900
0.1,0.2,0.15,1900,0.2,0.35,0.275,1925
0.1,0.15,0.125,1925,0.2,0.35,0.275,1950
0.1,0.2,0.15,1940,0.25,0.4,0.325,1975
0.1,0.2,0.15,1950,0.3,0.4,0.35,2000
0.1,0.25,0.175,1960,0.3,0.45,0.375,2025
0.1,0.25,0.175,1970,0.35,0.5,0.425,2050
0.1,0.2,0.15,1975,0.45,0.55,0.5,2075
0.15,0.25,0.2,1980,0.5,0.6,0.55,2100
0.15,0.25,0.2,1990,0.6,0.7,0.65,2125
0.15,0.25,0.2,2000,0.65,0.8,0.725,2150
0.15,0.25,0.2,2010,0.8,0.9,0.85,2175
0.15,0.3,0.225,2020,0.9,1,0.95,2200
0.15,0.25,0.2,2025,0.95,1.05,1,2210
0.15,0.3,0.225,2030,1,1.15,1.075,2220
0.2,0.3,0.25,2040,1.05,1.15,1.1,2225
0.2,0.3,0.25,2050,1.1,1.2,1.15,2230
0.2,0.35,0.275,2060,1.15,1.25,1.2,2240
0.25,0.35,0.3,2070,1.25,1.35,1.3,2250
0.25,0.35,0.3,2075,1.3,1.45,1.375,2260
0.25,0.35,0.3,2080,1.4,1.5,1.45,2270
0.25,0.4,0.325,2090,1.45,1.55,1.5,2275
0.25,0.4,0.325,2100,1.5,1.6,1.55,2280
0.3,0.4,0.35,2110,1.6,1.7,1.65,2290
0.3,0.45,0.375,2120,1.7,1.8,1.75,2300
0.3,0.45,0.375,2125,1.8,1.95,1.875,2310
0.35,0.45,0.4,2130,1.95,2.05,2,2320
0.35,0.5,0.425,2140,2,2.15,2.075,2325
0.4,0.5,0.45,2150,2.05,2.2,2.125,2330
0.4,0.5,0.45,2155,2.2,2.35,2.275,2340
0.4,0.55,0.475,2160,2.3,2.45,2.375,2345
0.4,0.55,0.475,2165,2.35,2.5,2.425,2350
0.45,0.55,0.5,2170,2.45,2.6,2.525,2355
0.45,0.55,0.5,2175,2.55,2.7,2.625,2360
0.45,0.6,0.525,2180,2.6,2.8,2.7,2365
0.5,0.6,0.55,2185,2.7,2.9,2.8,2370
0.5,0.6,0.55,2190,2.8,3,2.9,2375
0.5,0.65,0.575,2195,2.9,3.1,3,2380
0.55,0.65,0.6,2200,3,3.2,3.1,2385
0.55,0.65,0.6,2205,3.1,3.3,3.2,2390
0.55,0.7,0.625,2210,3.2,3.5,3.35,2395
0.6,0.7,0.65,2215,3.4,3.6,3.5,2400
0.6,0.7,0.65,2220,3.5,3.7,3.6,2405
0.6,0.75,0.675,2225,3.6,3.9,3.75,2410
0.65,0.75,0.7,2230,3.8,4,3.9,2415
0.65,0.8,0.725,2235,3.9,4.2,4.05,2420
0.7,0.8,0.75,2240,4.1,4.3,4.2,2425
0.7,0.85,0.775,2245,4.2,4.5,4.35,2430
0.75,0.85,0.8,2250,4.4,4.6,4.5,2435
0.75,0.9,0.825,2255,4.6,4.8,4.7,2440
0.8,0.9,0.85,2260,4.7,5,4.85,2445
0.8,0.95,0.875,2265,4.9,5.2,5.05,2450
0.85,0.95,0.9,2270,5.1,5.4,5.25,2455
0.9,1,0.95,2275,5.4,5.6,5.5,2460
0.9,1.05,0.975,2280,5.6,5.8,5.7,2465
0.95,1.05,1,2285,5.8,6,5.9,2470
0.95,1.1,1.025,2290,6,6.3,6.15,2475
1,1.15,1.075,2295,6.3,6.5,6.4,2480
1.05,1.15,1.1,2300,6.5,6.8,6.65,2485
1.1,1.2,1.15,2305,6.8,7.1,6.95,2490
1.1,1.25,1.175,2310,7.1,7.4,7.25,2495
1.15,1.3,1.225,2315,7.4,7.7,7.55,2500
1.2,1.35,1.275,2320,7.7,8,7.85,2505
1.25,1.4,1.325,2325,8.1,8.3,8.2,2510
1.3,1.4,1.35,2330,8.4,8.6,8.5,2515
1.35,1.45,1.4,2335,8.8,9,8.9,2520
1.4,1.5,1.45,2340,9.1,9.4,9.25,2525
1.45,1.55,1.5,2345,9.5,9.8,9.65,2530
1.5,1.65,1.575,2350,10,10.2,10.1,2535
1.55,1.7,1.625,2355,10.4,10.6,10.5,2540
1.6,1.75,1.675,2360,10.8,11.1,10.95,2545
1.7,1.8,1.75,2365,11.3,11.6,11.45,2550
1.75,1.9,1.825,2370,11.8,12.1,11.95,2555
1.8,1.95,1.875,2375,12.3,12.6,12.45,2560
1.85,2,1.925,2380,12.9,13.1,13,2565
1.95,2.1,2.025,2385,13.5,13.7,13.6,2570
2,2.15,2.075,2390,14,14.3,14.15,2575
2.1,2.25,2.175,2395,14.7,14.9,14.8,2580
2.2,2.35,2.275,2400,15.3,15.6,15.45,2585
2.3,2.45,2.375,2405,16,16.2,16.1,2590
2.35,2.5,2.425,2410,16.7,16.9,16.8,2595
2.45,2.6,2.525,2415,17.4,17.7,17.55,2600
2.55,2.7,2.625,2420,18.2,18.4,18.3,2605
2.65,2.85,2.75,2425,19,19.2,19.1,2610
2.8,2.95,2.875,2430,19.8,20.1,19.95,2615
2.9,3.1,3,2435,20.6,20.9,20.75,2620
3,3.2,3.1,2440,21.5,21.8,21.65,2625
3.1,3.3,3.2,2445,22.5,22.8,22.65,2630
3.3,3.5,3.4,2450,23.4,23.8,23.6,2635
3.4,3.6,3.5,2455,24.4,24.8,24.6,2640
3.6,3.8,3.7,2460,25.5,25.8,25.65,2645
3.7,3.9,3.8,2465,26.6,26.9,26.75,2650
3.9,4.1,4,2470,27.7,28,27.85,2655
4,4.3,4.15,2475,28.9,29.2,29.05,2660
4.2,4.5,4.35,2480,30.1,30.4,30.25,2665
4.4,4.7,4.55,2485,31.3,31.7,31.5,2670
4.7,4.8,4.75,2490,32.6,33,32.8,2675
4.9,5.1,5,2495,33.9,34.3,34.1,2680
5.1,5.3,5.2,2500,35.3,35.7,35.5,2685
5.3,5.5,5.4,2505,36.8,37.2,37,2690
5.6,5.8,5.7,2510,38.2,38.7,38.45,2695
5.8,6,5.9,2515,39.8,40.2,40,2700
6.1,6.3,6.2,2520,41.4,41.8,41.6,2705
6.4,6.6,6.5,2525,43,43.5,43.25,2710
6.7,6.9,6.8,2530,44.7,45.2,44.95,2715
7,7.2,7.1,2535,46.5,47,46.75,2720
7.4,7.5,7.45,2540,48.3,48.8,48.55,2725
7.7,7.9,7.8,2545,50.2,50.7,50.45,2730
8.1,8.3,8.2,2550,52.1,52.6,52.35,2735
8.5,8.6,8.55,2555,54.1,54.6,54.35,2740
8.9,9.1,9,2560,57.05,57.6,57.325,2745
9.3,9.5,9.4,2565,55.1,55.6,55.35,2750
9.8,10,9.9,2570,52.3,52.8,52.55,2755
10.2,10.4,10.3,2575,49.5,50.1,49.8,2760
10.7,10.9,10.8,2580,46.9,47.4,47.15,2765
11.3,11.5,11.4,2585,44.3,44.8,44.55,2770
11.8,12,11.9,2590,41.8,42.2,42,2775
12.4,12.6,12.5,2595,39.3,39.8,39.55,2780
13,13.2,13.1,2600,36.9,37.4,37.15,2785
13.7,13.9,13.8,2605,34.6,35.1,34.85,2790
14.3,14.6,14.45,2610,32.4,32.9,32.65,2795
15,15.3,15.15,2615,30.3,30.7,30.5,2800
15.8,16,15.9,2620,28.2,28.6,28.4,2805
16.6,16.8,16.7,2625,26.2,26.6,26.4,2810
17.4,17.6,17.5,2630,24.3,24.7,24.5,2815
18.2,18.5,18.35,2635,22.5,22.9,22.7,2820
19.1,19.4,19.25,2640,20.8,21.2,21,2825
20,20.4,20.2,2645,19.1,19.5,19.3,2830
21,21.3,21.15,2650,17.5,18,17.75,2835
22.1,22.4,22.25,2655,16.1,16.5,16.3,2840
23.1,23.4,23.25,2660,14.7,15.1,14.9,2845
24.2,24.6,24.4,2665,13.4,13.8,13.6,2850
25.4,25.7,25.55,2670,12.2,12.6,12.4,2855
26.6,27,26.8,2675,11,11.3,11.15,2860
27.9,28.2,28.05,2680,10,10.3,10.15,2865
29.2,29.6,29.4,2685,9,9.3,9.15,2870
30.6,30.9,30.75,2690,8.1,8.4,8.25,2875
32,32.4,32.2,2695,7.3,7.5,7.4,2880
33.5,33.9,33.7,2700,6.6,6.8,6.7,2885
35,35.5,35.25,2705,5.9,6.1,6,2890
36.6,37.1,36.85,2710,5.3,5.4,5.35,2895
38.3,38.8,38.55,2715,4.7,4.8,4.75,2900
40,40.5,40.25,2720,4.2,4.3,4.25,2905
41.8,42.3,42.05,2725,3.7,3.9,3.8,2910
43.7,44.5,44.1,2730,3.3,3.5,3.4,2915
45.6,46.1,45.85,2735,2.95,3.1,3.025,2920
47.6,48.1,47.85,2740,2.6,2.75,2.675,2925
50.4,50.9,50.65,2745,2.3,2.45,2.375,2930
48.3,48.8,48.55,2750,2.05,2.2,2.125,2935
45.5,46,45.75,2755,1.8,1.95,1.875,2940
42.8,43.3,43.05,2760,1.6,1.75,1.675,2945
40.2,40.7,40.45,2765,1.45,1.55,1.5,2950
37.7,38.1,37.9,2770,1.25,1.4,1.325,2955
35.2,35.6,35.4,2775,1.1,1.25,1.175,2960
32.8,33.2,33,2780,1,1.15,1.075,2965
30.6,30.9,30.75,2785,0.9,1,0.95,2970
28.4,28.7,28.55,2790,0.8,0.9,0.85,2975
26.2,26.6,26.4,2795,0.7,0.8,0.75,2980
24.2,24.6,24.4,2800,0.6,0.75,0.675,2985
22.3,22.6,22.45,2805,0.55,0.7,0.625,2990
20.4,20.7,20.55,2810,0.5,0.65,0.575,2995
18.7,19,18.85,2815,0.45,0.6,0.525,3000
17,17.4,17.2,2820,0.4,0.55,0.475,3005
15.5,15.8,15.65,2825,0.35,0.5,0.425,3010
14,14.3,14.15,2830,0.35,0.45,0.4,3015
12.6,12.9,12.75,2835,0.3,0.4,0.35,3020
11.4,11.7,11.55,2840,0.25,0.4,0.325,3025
10.2,10.5,10.35,2845,0.25,0.35,0.3,3030
9.1,9.4,9.25,2850,0.2,0.35,0.275,3035
8.1,8.4,8.25,2855,0.2,0.3,0.25,3040
7.2,7.4,7.3,2860,0.2,0.3,0.25,3045
6.4,6.6,6.5,2865,0.15,0.25,0.2,3050
5.6,5.8,5.7,2870,0.15,0.25,0.2,3055
5,5.1,5.05,2875,0.15,0.25,0.2,3060
4.3,4.5,4.4,2880,0.15,0.2,0.175,3065
3.8,4,3.9,2885,0.1,0.2,0.15,3070
3.3,3.5,3.4,2890,0.1,0.2,0.15,3075
2.9,3,2.95,2895,0.1,0.2,0.15,3080
2.55,2.65,2.6,2900,0.1,0.2,0.15,3085
2.2,2.35,2.275,2905,0.05,0.15,0.1,3090
1.9,2.05,1.975,2910,0.05,0.15,0.1,3095
1.65,1.8,1.725,2915,0.05,0.15,0.1,3100
1.45,1.6,1.525,2920,0.05,0.15,0.1,3110
1.25,1.4,1.325,2925,0.05,0.15,0.1,3125
1.1,1.25,1.175,2930,0.05,0.15,0.1,3175
0.95,1.05,1,2935,0.05,0.1,0.075,3200
0.85,0.95,0.9,2940,,,,
0.75,0.85,0.8,2945,,,,
0.65,0.75,0.7,2950,,,,
0.55,0.65,0.6,2955,,,,
0.5,0.6,0.55,2960,,,,
0.45,0.55,0.5,2965,,,,
0.4,0.5,0.45,2970,,,,
0.35,0.45,0.4,2975,,,,
0.3,0.4,0.35,2980,,,,
0.25,0.4,0.325,2985,,,,
0.25,0.35,0.3,2990,,,,
0.2,0.35,0.275,2995,,,,
0.2,0.3,0.25,3000,,,,
0.15,0.3,0.225,3005,,,,
0.15,0.25,0.2,3010,,,,
0.15,0.25,0.2,3015,,,,
0.15,0.25,0.2,3020,,,,
0.1,0.2,0.15,3025,,,,
0.1,0.2,0.15,3030,,,,
0.1,0.2,0.15,3035,,,,
0.1,0.2,0.15,3040,,,,
0.05,0.2,0.125,3045,,,,
0.05,0.15,0.1,3050,,,,
0.05,0.15,0.1,3055,,,,
0.05,0.15,0.1,3060,,,,
0.05,0.15,0.1,3065,,,,
0.05,0.1,0.075,3070,,,,
